Text_Type,Book,Chapter,Window,GGG,L,GG,GLL,LLG,LGL,G,GGL,LGG,GLG,LLL,LL,LG,GL
SN,CS,siddi,1,44,23,2,75,1,94,49,144,2,158,0,0,0,0
SN,CS,siddi,2,43,23,2,76,1,95,50,146,1,159,0,0,0,0
SN,CS,siddi,3,43,23,1,76,0,96,51,148,0,162,0,0,0,0
SN,CS,siddi,4,44,23,1,76,0,96,51,147,0,162,0,0,0,0
SN,CS,siddi,5,44,23,1,76,0,96,51,147,0,162,0,0,0,0
SN,CS,siddi,6,45,24,1,76,0,97,50,145,0,162,0,0,0,0
SN,CS,siddi,7,45,24,1,77,0,96,50,146,0,161,0,0,0,0
SN,CS,siddi,8,45,24,1,77,0,96,50,146,0,161,0,0,0,0
SN,CS,siddi,9,46,24,1,77,0,95,50,147,0,160,0,0,0,0
SN,CS,siddi,10,45,25,1,78,0,94,49,148,0,160,0,0,0,0
SN,CS,siddi,11,45,25,1,78,0,93,49,149,0,160,0,0,0,0
SN,CS,siddi,12,45,24,1,78,0,93,50,149,0,160,0,0,0,0
SN,CS,siddi,13,45,24,1,78,0,94,50,148,0,160,0,0,0,0
SN,CS,siddi,14,44,25,1,78,0,95,49,148,0,160,0,0,0,0
SN,CS,siddi,15,43,26,1,78,0,95,48,149,0,160,0,0,0,0
SN,CS,siddi,16,43,26,1,78,0,94,48,150,0,160,0,0,0,0
SN,CS,siddi,17,44,26,1,78,0,94,48,149,0,160,0,0,0,0
SN,CS,siddi,18,44,26,0,79,0,91,49,149,0,162,0,0,0,0
SN,CS,siddi,19,44,26,0,79,0,91,49,149,0,162,0,0,0,0
SN,CS,siddi,20,45,26,0,79,0,91,49,148,0,162,0,0,0,0
SN,CS,siddi,21,46,25,0,79,0,91,50,148,0,161,0,0,0,0
SN,CS,siddi,22,47,25,0,79,0,90,50,148,0,161,0,0,0,0
SN,CS,siddi,23,47,24,0,79,0,89,51,149,0,161,0,0,0,0
SN,CS,siddi,24,48,24,0,79,0,89,51,149,0,160,0,0,0,0
SN,CS,siddi,25,47,24,0,79,0,89,51,150,0,160,0,0,0,0
SN,CS,siddi,26,47,23,0,79,0,89,52,150,0,160,0,0,0,0
SN,CS,siddi,27,47,23,0,79,0,90,52,149,0,160,0,0,0,0
SN,CS,siddi,28,47,23,0,79,0,91,52,148,0,160,0,0,0,0
SN,CS,siddi,29,48,23,0,79,0,90,52,149,0,159,0,0,0,0
SN,CS,siddi,30,48,23,0,79,0,90,52,149,0,159,0,0,0,0
SN,CS,siddi,31,48,22,0,79,0,90,53,149,0,159,0,0,0,0
SN,CS,siddi,32,49,22,0,79,0,90,53,148,0,159,0,0,0,0
SN,CS,siddi,33,49,23,0,79,0,90,52,148,0,159,0,0,0,0
SN,CS,siddi,34,49,22,0,79,0,90,53,148,0,159,0,0,0,0
SN,CS,siddi,35,48,22,0,79,0,91,53,147,0,160,0,0,0,0
SN,CS,siddi,36,49,22,0,79,0,91,53,147,0,159,0,0,0,0
SN,CS,siddi,37,49,23,0,79,0,90,52,148,0,159,0,0,0,0
SN,CS,siddi,38,49,22,0,79,0,90,53,148,0,159,0,0,0,0
SN,CS,siddi,39,48,22,0,79,0,90,53,149,0,159,0,0,0,0
SN,CS,siddi,40,48,22,0,79,0,90,53,149,0,159,0,0,0,0
SN,CS,siddi,41,48,22,0,79,0,90,53,148,0,160,0,0,0,0
SN,CS,siddi,42,48,22,0,79,0,89,53,149,0,160,0,0,0,0
SN,CS,siddi,43,49,21,1,78,1,89,53,149,2,158,0,0,0,0
SN,CS,siddi,44,49,21,1,78,1,90,53,148,2,158,0,0,0,0
SN,CS,siddi,45,51,21,2,77,1,89,52,145,3,157,0,0,0,0
SN,CS,siddi,46,51,21,3,77,2,88,51,142,4,155,0,0,0,0
SN,CS,siddi,47,52,20,3,76,2,88,52,142,4,153,0,0,0,0
SN,CS,siddi,48,52,19,3,75,2,88,53,141,4,153,0,0,0,0
SN,CS,siddi,49,53,20,3,74,3,88,52,140,4,151,0,0,0,0
SN,CS,siddi,50,55,20,3,73,4,87,52,139,4,149,0,0,0,0
SN,CS,siddi,51,55,20,3,73,4,87,52,139,4,147,0,0,0,0
SN,CS,siddi,52,58,19,3,72,5,87,53,136,4,145,0,0,0,0
SN,CS,siddi,53,59,18,3,71,7,87,54,133,4,144,0,0,0,0
SN,CS,siddi,54,59,17,3,70,8,87,55,133,4,142,0,0,0,0
SN,CS,siddi,55,61,17,3,69,9,87,55,132,4,139,0,0,0,0
SN,CS,siddi,56,62,16,3,68,10,87,56,130,5,137,0,0,0,0
SN,CS,siddi,57,65,16,3,68,12,94,56,134,16,144,2,0,0,0
SN,CS,siddi,58,95,16,3,78,21,100,55,145,29,161,6,0,0,0
SN,CS,siddi,59,96,16,3,79,24,99,54,146,31,159,7,1,0,0
SN,CS,siddi,60,105,16,3,80,29,109,53,152,35,167,12,1,0,0
SN,CS,siddi,61,108,15,3,83,31,114,53,150,41,169,13,1,0,0
SN,CS,siddi,62,130,15,3,89,43,126,52,161,54,187,14,1,0,0
SN,CS,siddi,63,137,15,3,92,51,132,51,169,62,198,18,1,1,0
SN,CS,siddi,64,141,14,3,93,53,135,51,177,64,206,21,1,1,0
SN,CS,siddi,65,170,14,3,94,58,147,51,191,84,214,24,1,1,0
SN,CS,siddi,66,178,14,3,102,64,158,50,202,92,226,25,1,2,0
SN,CS,siddi,67,181,13,3,107,68,160,50,204,96,229,26,1,3,0
SN,CS,siddi,68,191,13,4,108,70,164,49,206,105,233,27,1,3,0
SN,CS,siddi,69,192,13,4,108,71,167,49,209,107,234,27,1,3,0
SN,CS,siddi,70,194,14,4,107,73,175,48,211,115,238,27,1,3,0
SN,CS,siddi,71,210,14,4,114,80,188,47,228,137,252,28,1,3,0
SN,CS,siddi,72,218,14,4,120,87,201,46,230,141,263,32,1,3,0
SN,CS,siddi,73,221,14,4,120,88,200,45,232,143,265,32,1,3,0
SN,CS,siddi,74,221,13,4,121,89,199,45,231,143,264,32,1,4,0
SN,CS,siddi,75,222,12,4,120,90,199,46,229,144,262,32,1,4,0
SN,CS,siddi,76,222,12,4,120,90,199,46,227,145,261,32,1,4,0
SN,CS,siddi,77,221,12,4,119,91,199,46,226,145,261,32,1,4,0
SN,CS,siddi,78,223,13,4,118,92,200,45,224,145,258,32,1,4,0
SN,CS,siddi,79,224,12,4,117,93,200,46,222,146,256,32,1,4,0
SN,CS,siddi,80,224,12,4,116,93,200,46,221,147,255,32,1,4,0
SN,CS,siddi,81,224,12,4,115,93,199,46,220,149,254,32,1,4,0
SN,CS,siddi,82,227,12,4,113,94,199,46,218,149,252,32,1,4,0
SN,CS,siddi,83,227,11,4,112,94,199,47,217,150,251,32,1,4,0
SN,CS,siddi,84,232,11,5,113,97,198,46,218,152,252,32,1,4,0
SN,CS,siddi,85,232,10,6,112,98,197,46,216,153,250,32,1,4,0
SN,CS,siddi,86,231,10,6,112,98,198,46,216,153,250,32,1,4,0
SN,CS,siddi,87,231,10,6,112,98,199,46,216,153,249,32,1,4,0
SN,CS,siddi,88,232,10,6,112,98,198,46,217,153,248,32,1,4,0
SN,CS,siddi,89,232,9,6,112,98,197,47,217,153,249,32,1,4,0
SN,CS,siddi,90,233,8,6,112,98,198,48,215,153,249,32,1,4,0
SN,CS,siddi,91,233,8,6,112,98,198,48,215,153,249,32,1,4,0
SN,CS,siddi,92,232,9,6,112,98,199,47,214,153,250,32,1,4,0
SN,CS,siddi,93,233,10,6,112,98,199,46,214,153,249,32,1,4,0
SN,CS,siddi,94,232,9,6,112,98,200,47,213,153,250,32,1,4,0
SN,CS,siddi,95,232,9,6,111,98,202,46,212,153,250,32,1,4,1
SN,CS,siddi,96,231,9,6,111,98,202,46,212,153,251,32,1,4,1
SN,CS,siddi,97,231,10,6,111,98,202,45,212,153,251,32,1,4,1
SN,CS,siddi,98,231,11,6,111,98,203,44,211,153,251,32,1,4,1
SN,CS,siddi,99,231,12,6,111,98,203,43,211,153,251,32,1,4,1
SN,CS,siddi,100,232,12,6,111,98,202,43,211,153,251,32,1,4,1
SN,CS,siddi,101,232,13,6,111,98,201,42,212,153,251,32,1,4,1
SN,CS,siddi,102,231,13,6,111,98,201,42,213,153,251,32,1,4,1
SN,CS,siddi,103,231,13,6,111,98,201,42,213,153,251,32,1,4,1
SN,CS,siddi,104,231,13,6,111,98,201,42,213,153,251,32,1,4,1
SN,CS,siddi,105,231,13,6,111,98,201,42,213,153,251,32,1,4,1
SN,CS,siddi,106,231,14,6,111,98,202,41,212,153,251,32,1,4,1
SN,CS,siddi,107,231,15,6,111,98,203,40,211,153,251,32,1,4,1
