Text_Type,Book,Chapter,Window,GGL,L,GLL,LGG,GG,GLG,GGG,G,LGL,LLG,LL,LLL,LG,GL
SN,CS,shareera,356,92,14,53,0,0,105,26,36,68,0,0,0,0,0
SN,CS,shareera,357,91,14,53,0,0,105,26,36,69,0,0,0,0,0
SN,CS,shareera,358,92,14,53,1,0,103,30,36,68,2,0,0,0,0
SN,CS,shareera,359,90,14,52,2,0,102,33,35,67,2,0,0,0,0
SN,CS,shareera,360,88,14,52,3,1,100,32,34,66,3,0,0,0,0
SN,CS,shareera,361,95,13,54,11,1,111,41,34,79,12,0,4,0,0
SN,CS,shareera,362,96,13,57,12,1,112,44,33,78,15,0,5,0,0
SN,CS,shareera,363,99,12,57,21,1,115,49,33,78,17,0,8,0,0
SN,CS,shareera,364,98,12,56,22,1,113,48,32,77,17,0,9,0,0
SN,CS,shareera,365,97,12,55,25,1,111,50,31,76,20,0,9,0,0
SN,CS,shareera,366,96,11,56,25,1,109,51,32,77,23,0,9,0,0
SN,CS,shareera,367,94,11,56,25,1,108,50,32,76,23,0,9,0,0
SN,CS,shareera,368,93,10,58,30,2,109,53,32,77,26,0,16,0,0
SN,CS,shareera,369,90,9,57,30,3,107,54,32,77,26,0,16,0,0
SN,CS,shareera,370,90,9,57,34,3,108,56,32,77,26,0,18,0,0
SN,CS,shareera,371,87,9,56,34,4,106,57,31,76,26,0,19,0,0
SN,CS,shareera,372,89,9,59,43,4,111,63,30,82,29,0,24,0,0
SN,CS,shareera,373,90,9,60,44,4,111,66,29,81,34,0,27,0,0
SN,CS,shareera,374,91,8,58,47,5,111,69,29,80,38,0,28,0,0
SN,CS,shareera,375,92,8,59,49,5,109,71,29,78,38,0,28,0,0
SN,CS,shareera,376,89,7,58,49,5,108,72,30,77,38,0,28,0,0
SN,CS,shareera,377,88,7,56,49,6,107,73,29,78,39,0,28,0,0
SN,CS,shareera,378,92,7,60,54,6,114,79,29,81,40,0,30,0,0
SN,CS,shareera,379,90,7,59,54,6,111,80,29,80,41,0,30,0,0
SN,CS,shareera,380,90,6,58,54,7,108,81,29,80,42,0,31,0,0
SN,CS,shareera,381,91,6,60,56,7,110,83,28,83,43,0,32,0,0
SN,CS,shareera,382,89,6,59,56,7,109,84,28,81,43,0,32,0,0
SN,CS,shareera,383,91,7,58,59,7,109,86,27,80,47,0,37,0,0
SN,CS,shareera,384,90,7,57,60,7,111,89,27,80,47,0,39,0,0
SN,CS,shareera,385,95,7,59,73,7,116,99,27,84,54,0,43,0,0
SN,CS,shareera,386,101,6,60,77,7,122,106,27,86,57,0,48,1,0
SN,CS,shareera,387,101,6,61,82,7,121,107,26,87,62,0,50,1,0
SN,CS,shareera,388,100,6,61,82,7,121,108,25,89,63,0,50,2,0
SN,CS,shareera,389,99,6,61,84,8,120,110,24,88,66,0,52,2,0
SN,CS,shareera,390,97,6,60,85,8,118,110,24,87,67,0,52,2,0
SN,CS,shareera,391,96,5,59,86,8,118,111,24,87,67,0,52,2,0
SN,CS,shareera,392,103,5,62,89,8,123,117,23,89,69,0,52,2,1
SN,CS,shareera,393,101,5,61,89,8,122,117,23,88,69,0,52,2,1
SN,CS,shareera,394,100,4,60,90,8,122,120,23,88,69,0,53,2,1
SN,CS,shareera,395,102,4,62,90,8,123,124,22,89,69,0,56,2,2
SN,CS,shareera,396,104,4,61,93,8,123,125,21,89,73,0,57,2,3
SN,CS,shareera,397,102,4,62,94,8,122,125,20,89,75,0,57,2,3
SN,CS,shareera,398,102,3,63,96,8,129,128,20,93,76,0,57,2,3
SN,CS,shareera,399,99,3,62,96,8,127,129,20,92,77,0,57,2,3
SN,CS,shareera,400,98,2,61,98,8,126,130,20,91,77,0,58,2,3
SN,CS,shareera,401,99,2,63,101,8,128,131,19,90,79,0,60,3,3
SN,CS,shareera,402,99,2,64,103,8,129,136,18,92,81,0,62,3,4
SN,CS,shareera,403,107,2,67,112,8,134,139,17,91,83,0,65,3,4
SN,CS,shareera,404,108,2,66,114,8,137,142,16,91,83,1,67,3,4
SN,CS,shareera,405,109,2,67,117,8,139,144,15,93,84,1,68,3,4
SN,CS,shareera,406,112,2,69,122,8,146,154,15,93,86,1,68,3,4
SN,CS,shareera,407,112,2,69,125,8,145,156,14,92,86,1,70,3,5
SN,CS,shareera,408,113,2,73,131,8,149,159,13,97,86,1,72,3,5
SN,CS,shareera,409,120,2,81,140,9,156,160,13,102,92,1,75,3,5
SN,CS,shareera,410,121,2,82,142,8,158,162,13,104,93,1,77,3,6
SN,CS,shareera,411,113,2,80,137,8,149,160,13,93,88,1,73,3,6
SN,CS,shareera,412,112,2,77,140,8,148,162,13,93,87,1,72,3,6
SN,CS,shareera,413,114,2,78,133,9,146,158,13,94,88,1,70,3,6
SN,CS,shareera,414,117,2,78,134,9,146,161,13,95,88,1,69,3,6
SN,CS,shareera,415,123,2,79,133,9,149,161,14,96,86,1,71,3,6
SN,CS,shareera,416,127,2,77,135,10,148,162,13,95,84,1,74,3,6
SN,CS,shareera,417,134,2,80,139,11,157,172,12,102,87,1,76,3,6
SN,CS,shareera,418,136,3,81,140,10,161,172,12,101,88,1,73,3,6
SN,CS,shareera,419,138,3,81,143,9,163,175,12,102,88,1,74,3,6
SN,CS,shareera,420,139,4,82,141,9,161,176,11,102,89,1,72,3,6
SN,CS,shareera,421,140,4,83,142,8,163,176,11,103,89,1,71,3,6
SN,CS,shareera,422,136,4,79,134,8,158,170,12,97,86,1,66,3,6
SN,CS,shareera,423,135,4,76,134,8,156,168,13,97,82,1,63,3,6
SN,CS,shareera,424,134,4,76,131,7,157,165,14,97,78,1,62,3,6
SN,CS,shareera,425,132,4,75,129,7,157,164,14,98,79,1,62,3,6
SN,CS,shareera,426,132,4,75,130,7,157,165,14,99,79,1,62,3,6
SN,CS,shareera,427,131,4,75,131,6,156,166,15,98,79,1,62,3,6
SN,CS,shareera,428,127,3,70,127,6,147,159,15,94,80,1,60,4,6
SN,CS,shareera,429,128,3,70,128,6,147,159,15,95,80,1,60,4,6
SN,CS,shareera,430,127,3,70,129,5,148,158,16,94,81,1,59,4,6
SN,CS,shareera,431,124,3,67,127,5,145,158,17,91,80,1,58,4,6
SN,CS,shareera,432,124,3,67,128,5,145,159,17,92,80,1,58,4,6
SN,CS,shareera,433,122,3,67,125,5,143,158,17,92,77,1,53,4,6
SN,CS,shareera,434,122,3,67,124,5,142,155,17,91,77,1,51,4,6
SN,CS,shareera,435,117,3,64,111,5,135,148,16,85,71,1,47,5,6
SN,CS,shareera,436,110,3,63,107,5,127,141,17,83,69,1,42,4,6
SN,CS,shareera,437,108,3,62,104,5,126,139,18,82,65,1,40,4,6
SN,CS,shareera,438,107,3,61,104,5,126,140,19,79,64,1,40,3,6
SN,CS,shareera,439,106,3,60,103,4,125,141,19,79,62,1,38,3,6
SN,CS,shareera,440,106,3,61,103,5,125,140,18,79,62,1,38,3,6
SN,CS,shareera,441,112,3,62,105,5,128,145,18,81,64,1,40,3,6
SN,CS,shareera,442,103,3,60,103,5,124,142,18,77,63,1,42,3,5
SN,CS,shareera,443,103,3,61,106,5,128,141,17,78,65,1,43,3,5
SN,CS,shareera,444,102,3,62,108,5,127,138,17,77,66,1,43,3,5
SN,CS,shareera,445,101,3,59,109,6,127,133,17,76,66,1,40,3,4
SN,CS,shareera,446,102,3,60,108,7,127,133,17,74,63,1,40,3,3
SN,CS,shareera,447,104,3,58,112,7,128,137,17,74,63,1,42,4,3
SN,CS,shareera,448,104,3,56,111,7,122,140,17,71,63,1,44,4,3
SN,CS,shareera,449,107,4,57,112,7,128,142,16,72,64,1,46,4,3
SN,CS,shareera,450,112,5,59,113,7,135,150,16,74,68,1,45,4,3
SN,CS,shareera,451,121,5,58,112,7,135,158,17,77,69,1,48,3,3
SN,CS,shareera,452,120,6,57,110,7,132,154,17,74,68,1,48,3,2
SN,CS,shareera,453,113,6,53,101,7,132,152,17,74,70,1,46,3,2
SN,CS,shareera,454,110,6,54,102,7,127,150,17,73,70,0,44,3,2
SN,CS,shareera,455,110,6,55,99,7,126,148,17,71,69,0,43,4,2
SN,CS,shareera,456,106,6,53,97,7,121,138,16,69,67,0,43,4,2
SN,CS,shareera,457,108,6,53,94,7,123,135,17,69,68,0,41,4,1
SN,CS,shareera,458,106,6,49,89,7,120,132,18,64,68,0,39,4,1
SN,CS,shareera,459,99,7,42,80,6,113,128,18,59,63,0,36,4,1
SN,CS,shareera,460,105,7,41,83,6,119,136,18,58,61,0,34,4,0
SN,CS,shareera,461,105,7,41,80,6,115,129,18,55,58,0,34,4,0
SN,CS,shareera,462,105,8,40,79,6,113,129,18,55,59,0,34,4,0
SN,CS,shareera,463,102,8,38,80,5,114,135,18,55,56,0,33,4,0
SN,CS,shareera,464,99,8,38,78,5,114,132,18,56,57,0,33,5,0
SN,CS,shareera,465,93,8,37,76,6,112,133,17,55,56,0,31,5,0
SN,CS,shareera,466,89,9,39,76,5,113,134,17,55,56,0,28,5,0
SN,CS,shareera,467,83,9,35,72,4,107,127,18,51,54,0,27,5,0
SN,CS,shareera,468,81,8,36,70,4,104,128,18,51,55,0,26,5,1
SN,CS,shareera,469,83,8,36,69,4,107,130,18,54,56,0,25,5,1
SN,CS,shareera,470,83,7,35,69,4,107,131,18,52,56,0,27,6,1
SN,CS,shareera,471,83,7,36,68,4,109,131,19,52,56,0,27,6,1
SN,CS,shareera,472,84,7,36,68,4,108,130,19,52,57,0,27,6,1
SN,CS,shareera,473,83,7,38,70,4,108,130,18,53,56,0,27,6,1
SN,CS,shareera,474,85,7,38,70,4,106,130,17,53,58,0,27,6,1
SN,CS,shareera,475,86,7,38,70,4,106,134,16,52,58,0,27,6,1
SN,CS,shareera,476,87,7,38,70,5,106,135,15,52,59,0,27,6,1
SN,CS,shareera,477,94,7,42,74,5,114,138,14,56,59,0,30,6,1
SN,CS,shareera,478,93,7,42,74,5,116,141,15,56,58,0,30,5,1
SN,CS,shareera,479,99,7,47,79,5,118,148,14,61,59,0,35,5,1
SN,CS,shareera,480,100,7,47,79,5,118,151,14,61,60,0,36,5,1
SN,CS,shareera,481,103,7,48,81,5,119,151,13,61,60,0,37,5,1
SN,CS,shareera,482,104,8,49,82,5,123,150,12,60,62,0,37,5,1
SN,CS,shareera,483,107,7,50,82,5,128,150,12,60,61,0,38,5,2
SN,CS,shareera,484,107,8,51,86,5,127,153,11,62,61,0,39,5,2
SN,CS,shareera,485,108,8,51,86,5,130,153,11,62,61,0,40,4,2
SN,CS,shareera,486,108,8,50,87,6,137,156,10,62,61,0,41,4,2
SN,CS,shareera,487,111,8,49,86,6,142,160,10,64,60,0,42,4,2
SN,CS,shareera,488,111,8,49,89,6,141,159,9,63,62,0,43,4,2
SN,CS,shareera,489,112,8,50,91,6,141,157,10,64,63,0,44,4,2
SN,CS,shareera,490,112,9,50,91,5,141,161,10,65,62,0,45,4,2
SN,CS,shareera,491,106,9,50,88,5,136,156,10,63,60,0,43,4,2
SN,CS,shareera,492,109,9,50,88,5,135,161,10,65,60,0,41,4,2
SN,CS,shareera,493,111,9,51,85,5,131,164,10,64,58,0,42,4,2
SN,CS,shareera,494,114,9,52,84,5,131,166,11,65,58,0,41,4,2
SN,CS,shareera,495,118,9,55,90,4,139,176,11,66,66,0,48,4,2
SN,CS,shareera,496,123,9,57,95,3,146,179,11,72,68,0,50,5,2
SN,CS,shareera,497,124,9,62,98,3,154,177,11,79,70,0,53,4,2
SN,CS,shareera,498,124,10,66,98,3,153,175,11,76,72,0,51,4,2
SN,CS,shareera,499,122,9,65,101,3,149,174,11,76,71,0,49,4,2
SN,CS,shareera,500,119,8,64,100,3,146,167,12,74,67,0,49,4,2
SN,CS,shareera,501,109,8,63,99,3,142,161,11,71,65,0,45,4,2
SN,CS,shareera,502,108,7,63,100,3,143,160,11,71,66,0,43,4,2
SN,CS,shareera,503,106,7,64,100,3,137,159,11,70,64,1,42,4,2
SN,CS,shareera,504,107,7,63,98,3,139,163,12,72,65,1,43,4,2
SN,CS,shareera,505,109,7,62,100,3,138,167,12,73,67,1,45,3,2
SN,CS,shareera,506,109,7,61,98,3,134,167,13,74,69,1,46,3,2
SN,CS,shareera,507,107,7,61,102,3,132,168,13,73,69,1,46,3,2
SN,CS,shareera,508,110,7,60,102,3,135,169,13,75,69,1,47,3,2
SN,CS,shareera,509,113,6,60,103,3,138,169,13,79,71,1,49,3,2
SN,CS,shareera,510,112,6,60,99,4,134,161,13,78,71,1,49,3,2
SN,CS,shareera,511,116,6,59,100,4,134,164,13,81,71,1,50,3,2
SN,CS,shareera,512,118,5,61,100,4,134,161,14,81,69,1,50,3,2
SN,CS,shareera,513,116,5,60,98,4,134,157,15,80,70,1,51,3,2
SN,CS,shareera,514,116,5,61,99,5,139,160,15,81,71,1,53,2,2
SN,CS,shareera,515,120,5,62,99,5,138,162,15,81,71,1,53,2,2
SN,CS,shareera,516,120,4,60,99,5,139,160,16,81,73,1,54,2,2
SN,CS,shareera,517,120,4,60,100,6,137,160,15,82,74,1,55,2,2
SN,CS,shareera,518,121,4,57,97,7,134,159,15,83,69,1,53,2,1
SN,CS,shareera,519,117,4,60,98,8,132,154,15,78,69,1,53,2,1
SN,CS,shareera,520,116,4,60,97,8,132,152,16,80,70,1,53,1,1
SN,CS,shareera,521,116,4,58,97,9,130,151,15,83,72,1,55,1,1
SN,CS,shareera,522,116,4,58,96,9,130,155,14,83,72,1,55,1,1
SN,CS,shareera,523,117,4,57,95,9,131,156,15,83,72,1,56,1,1
SN,CS,shareera,524,116,4,59,96,9,131,158,15,82,73,1,57,1,1
SN,CS,shareera,525,115,4,59,98,9,131,156,15,82,73,1,58,1,1
SN,CS,shareera,526,114,4,60,98,8,131,157,16,81,72,1,58,1,1
SN,CS,shareera,527,111,5,62,101,8,130,155,16,78,80,1,56,1,1
SN,CS,shareera,528,114,5,64,106,8,130,156,15,79,83,1,56,1,1
SN,CS,shareera,529,107,5,59,101,8,130,150,15,73,82,2,51,1,1
SN,CS,shareera,530,107,5,59,100,8,132,147,15,73,79,2,50,1,1
SN,CS,shareera,531,106,6,58,98,8,130,144,15,74,80,2,49,1,1
SN,CS,shareera,532,106,5,57,97,8,125,144,16,75,79,2,49,1,1
SN,CS,shareera,533,102,5,56,97,8,120,144,17,76,80,2,48,1,0
SN,CS,shareera,534,102,5,55,93,8,120,142,17,74,80,2,47,1,0
SN,CS,shareera,535,100,6,56,93,8,117,140,17,76,79,2,46,1,0
SN,CS,shareera,536,99,6,56,92,7,111,139,18,75,79,2,45,1,0
SN,CS,shareera,537,98,6,59,92,7,106,140,18,72,81,2,44,1,0
SN,CS,shareera,538,98,6,59,90,7,105,141,19,72,80,2,44,1,0
SN,CS,shareera,539,97,6,59,88,8,105,139,18,71,79,2,43,1,0
SN,CS,shareera,540,98,5,58,87,9,108,135,18,70,81,2,43,1,0
SN,CS,shareera,541,100,6,57,92,9,111,144,18,71,86,2,45,1,0
SN,CS,shareera,542,101,6,58,97,9,111,141,18,70,87,2,49,1,1
SN,CS,shareera,543,103,6,57,100,9,111,141,19,73,90,2,49,1,1
SN,CS,shareera,544,102,6,56,98,9,112,143,19,72,91,2,49,1,1
SN,CS,shareera,545,105,6,58,100,9,116,147,19,73,84,3,45,1,1
SN,CS,shareera,546,98,6,56,94,9,109,145,19,68,82,3,44,0,1
SN,CS,shareera,547,97,6,51,88,9,100,145,20,63,79,3,42,0,1
SN,CS,shareera,548,96,6,47,88,9,99,142,20,63,76,3,43,0,1
SN,CS,shareera,549,97,6,48,86,9,99,142,20,64,77,3,43,1,1
SN,CS,shareera,550,98,6,47,85,9,96,139,19,64,78,4,43,1,1
SN,CS,shareera,551,99,6,47,85,9,99,138,19,63,78,4,42,1,2
SN,CS,shareera,552,100,6,46,84,10,99,138,19,63,76,4,42,1,2
SN,CS,shareera,553,101,6,45,84,10,101,137,20,63,75,3,42,1,2
SN,CS,shareera,554,100,6,45,83,10,101,133,19,62,74,3,41,1,3
SN,CS,shareera,555,104,6,46,84,11,104,130,19,63,72,3,39,1,3
SN,CS,shareera,556,106,6,47,83,11,106,130,18,62,71,3,38,1,3
SN,CS,shareera,557,109,6,46,80,11,105,130,18,62,70,3,39,1,3
SN,CS,shareera,558,105,6,46,78,11,103,125,18,60,68,3,38,1,3
SN,CS,shareera,559,103,6,45,77,11,100,125,18,56,65,3,36,1,4
SN,CS,shareera,560,100,6,45,75,10,97,123,18,58,66,3,37,1,4
SN,CS,shareera,561,95,6,45,76,10,97,121,18,56,66,3,36,1,4
SN,CS,shareera,562,97,6,46,74,10,99,121,18,59,67,3,40,1,4
SN,CS,shareera,563,104,6,57,81,11,109,129,17,73,75,3,46,1,4
SN,CS,shareera,564,106,6,58,82,10,107,129,17,75,78,4,45,1,4
SN,CS,shareera,565,103,6,59,83,9,108,125,17,76,78,4,45,1,5
SN,CS,shareera,566,105,6,59,82,9,108,124,16,76,76,4,44,1,5
SN,CS,shareera,567,104,6,60,81,8,106,124,16,72,74,4,43,1,5
SN,CS,shareera,568,125,6,85,104,7,140,155,16,84,87,4,56,1,5
SN,CS,shareera,569,127,6,84,102,6,138,154,16,85,86,4,56,1,5
SN,CS,shareera,570,126,6,83,101,6,137,153,16,85,85,4,54,1,5
SN,CS,shareera,571,126,6,83,101,5,136,153,17,83,84,4,52,1,5
SN,CS,shareera,572,125,6,83,102,5,137,149,18,84,83,4,52,1,5
SN,CS,shareera,573,124,6,82,101,5,136,149,18,83,84,4,51,1,5
SN,CS,shareera,574,123,6,80,100,5,136,149,19,84,81,4,50,1,5
SN,CS,shareera,575,123,6,79,98,5,137,148,20,85,80,4,49,1,5
SN,CS,shareera,576,124,6,79,97,5,136,144,20,88,80,4,49,1,5
SN,CS,shareera,577,121,5,74,89,5,131,141,21,87,71,4,48,1,5
SN,CS,shareera,578,119,5,72,84,5,129,138,22,87,67,4,48,1,5
SN,CS,shareera,579,119,5,72,84,5,128,138,23,88,66,3,48,1,5
SN,CS,shareera,580,118,5,72,85,5,126,140,23,88,66,3,48,1,5
SN,CS,shareera,581,116,4,73,86,5,126,141,24,87,66,3,48,1,5
SN,CS,shareera,582,115,4,73,85,5,127,143,24,87,65,3,48,1,5
SN,CS,shareera,583,117,4,73,85,5,127,142,24,86,65,3,48,1,5
SN,CS,shareera,584,116,4,73,86,5,125,142,24,87,66,3,48,1,5
SN,CS,shareera,585,116,3,72,86,5,128,141,25,86,66,3,48,1,5
SN,CS,shareera,586,117,3,72,86,5,129,140,25,86,65,3,48,1,5
SN,CS,shareera,587,115,3,69,85,5,130,136,25,88,64,3,48,1,5
SN,CS,shareera,588,115,3,69,84,5,130,135,25,91,64,3,47,1,5
SN,CS,shareera,589,116,3,68,84,4,130,135,26,93,64,3,47,1,5
SN,CS,shareera,590,115,3,68,84,3,128,137,27,94,63,3,46,1,5
SN,CS,shareera,591,111,2,68,79,3,126,130,28,93,58,3,44,1,5
SN,CS,shareera,592,107,2,65,73,3,124,126,29,94,58,3,40,1,4
SN,CS,shareera,593,105,2,65,70,3,123,125,28,91,56,4,38,1,4
SN,CS,shareera,594,104,3,64,70,3,122,123,27,91,54,4,38,1,4
SN,CS,shareera,595,94,3,59,61,3,108,111,28,89,54,3,35,1,4
SN,CS,shareera,596,92,3,59,60,3,106,109,29,89,55,3,33,1,4
SN,CS,shareera,597,90,3,59,59,3,105,108,29,87,55,3,30,1,4
SN,CS,shareera,598,89,2,60,59,4,104,107,29,87,56,3,29,1,4
SN,CS,shareera,599,87,2,59,59,4,102,105,30,87,55,3,29,0,4
SN,CS,shareera,600,87,2,60,59,4,101,106,30,87,54,2,29,1,4
SN,CS,shareera,601,86,2,60,58,4,98,104,30,88,54,2,29,1,3
SN,CS,shareera,602,86,2,62,59,3,98,105,30,91,56,2,29,1,3
SN,CS,shareera,603,87,3,62,62,3,96,108,29,91,55,2,29,1,3
SN,CS,shareera,604,90,3,62,62,3,94,108,29,90,58,2,30,1,2
SN,CS,shareera,605,84,3,61,59,2,92,108,29,89,58,2,30,2,2
SN,CS,shareera,606,84,3,64,60,2,92,108,29,89,57,2,30,3,2
SN,CS,shareera,607,83,3,65,61,2,93,110,28,92,57,3,32,3,2
SN,CS,shareera,608,85,3,66,62,3,91,113,27,92,58,3,32,3,2
SN,CS,shareera,609,86,3,69,63,3,96,118,28,93,63,3,33,3,1
SN,CS,shareera,610,84,3,71,65,3,99,126,28,96,65,3,33,4,1
SN,CS,shareera,611,86,3,72,67,3,100,132,28,95,68,3,35,4,1
SN,CS,shareera,612,82,3,70,69,3,98,134,27,95,67,3,36,5,1
SN,CS,shareera,613,74,4,61,62,2,87,126,27,80,64,3,30,5,1
SN,CS,shareera,614,72,4,60,60,2,86,125,28,77,59,2,29,5,1
SN,CS,shareera,615,71,4,60,64,2,87,130,28,79,60,2,29,5,1
SN,CS,shareera,616,75,4,67,67,2,89,140,28,81,62,2,29,5,1
SN,CS,shareera,617,84,4,71,72,3,97,144,28,85,66,2,33,5,1
SN,CS,shareera,618,63,4,44,48,4,63,110,28,71,54,2,19,5,1
SN,CS,shareera,619,62,4,42,49,4,64,113,29,70,56,2,19,5,1
